Sr.No,Month,Day,Date,Type,Event Name,Description,Field
27,"January","25","January 25","moon","Full Moon â€” Wolf Moon","Named by Algonquin tribes for howling wolves in cold January nights. Also Old Moon or Ice Moon.","Lunar"
28,"February","9","February 9","moon","New Moon (February)","Dark skies for winter deep-sky astrophotography. Orion Nebula and Pleiades perfectly positioned.","Lunar"
29,"February","24","February 24","moon","Full Moon â€” Snow Moon","Named for heavy February snowfall. Also Hunger Moon or Storm Moon.","Lunar"
30,"March","10","March 10","moon","New Moon (March)","Spring galaxy season begins â€” Leo, Virgo Cluster rising.","Lunar"
31,"March","25","March 25","moon","Full Moon â€” Worm Moon","Named for earthworm casts appearing as ground thaws.","Lunar"
32,"April","8","April 8","moon","New Moon (April)","Peak spring galaxy observing â€” Leo Triplet and Virgo Cluster overhead.","Lunar"
33,"April","23","April 23","moon","Full Moon â€” Pink Moon","Named for pink phlox wildflowers in early spring.","Lunar"
34,"May","8","May 8","moon","New Moon (May)","Milky Way core begins rising higher. Summer deep-sky season approaches.","Lunar"
35,"May","23","May 23","moon","Full Moon â€” Flower Moon","Named for abundant May flowers. Also Corn Planting Moon.","Lunar"
36,"June","6","June 6","moon","New Moon (June)","Best dark skies for the rising Milky Way galactic core.","Lunar"
37,"June","22","June 22","moon","Full Moon â€” Strawberry Moon","Named for strawberry harvest season. Often appears amber near the horizon.","Lunar"
38,"July","6","July 6","moon","New Moon (July)","Peak summer deep-sky: Lagoon, Eagle, and Trifid Nebulae.","Lunar"
39,"July","21","July 21","moon","Full Moon â€” Buck Moon","Named for male deer growing new antlers. Also Thunder Moon.","Lunar"
40,"August","4","August 4","moon","New Moon (August)","Perfect timing before the Perseids peak!","Lunar"
41,"August","19","August 19","moon","Full Moon â€” Sturgeon Moon","Named for abundant sturgeon fish in Great Lakes.","Lunar"
42,"September","3","September 3","moon","New Moon (September)","Andromeda Galaxy (M31) rising high.","Lunar"
43,"September","17","September 17","moon","Full Moon â€” Harvest Moon","Closest full moon to equinox. Rises near sunset, providing extra light for harvesting.","Lunar"
44,"October","2","October 2","moon","New Moon (October)","Dark autumn skies â€” Andromeda Galaxy and Perseus Double Cluster.","Lunar"
45,"October","17","October 17","moon","Full Moon â€” Hunter\'s Moon","Time to hunt game for winter preparation.","Lunar"
46,"November","1","November 1","moon","New Moon (November)","Winter constellations rising: Orion, Taurus, Gemini.","Lunar"
47,"November","15","November 15","moon","Full Moon â€” Beaver Moon","Time to set beaver traps before waters froze. Also Frost Moon.","Lunar"
48,"December","1","December 1","moon","New Moon (December)","Dark skies for Geminids. Winter Milky Way overhead.","Lunar"
49,"December","15","December 15","moon","Full Moon â€” Cold Moon","Named for long, cold December nights. Also Long Night Moon.","Lunar"
50,"March","14","March 14","eclipse","Total Lunar Eclipse (2025)","Visible from Americas, Europe, Africa. Moon turns deep red (""Blood Moon"") as Earth\'s shadow covers it.","Lunar Eclipse"
51,"March","29","March 29","eclipse","Partial Solar Eclipse (2025)","Visible from NW Africa, Europe, northern Russia. Up to 55% coverage.","Solar Eclipse"
52,"September","7","September 7","eclipse","Total Lunar Eclipse (2025)","Visible from Europe, Africa, Asia, Australia. Blood Moon lasts up to 1h 22m.","Lunar Eclipse"
53,"September","21","September 21","eclipse","Partial Solar Eclipse (2025)","Visible from South Pacific, New Zealand, Antarctica. Maximum ~75% coverage.","Solar Eclipse"
54,"February","17","February 17","eclipse","Annular Solar Eclipse (2026)","Annular ""ring of fire"" visible from Antarctica.","Solar Eclipse"
55,"August","12","August 12","eclipse","Total Solar Eclipse (2026)","Visible from Arctic, Greenland, Iceland, Spain. Totality up to 2m 18s.","Solar Eclipse"
56,"February","11","February 11","intl","Intl Day of Women & Girls in Science","UN-declared day promoting equal access to science. Honors Curie, Noether, Meitner, Wu, and all women in STEM.","UNESCO"
57,"February","28","February 28","intl","National Science Day (India)","Commemorates C.V. Raman\'s discovery of the Raman Effect (1928). Promotes scientific temper.","India"
58,"March","14","March 14","intl","Intl Day of Mathematics (Pi Day)","UNESCO-proclaimed on 3.14. Ï€ connects geometry, quantum mechanics, and general relativity.","UNESCO"
59,"April","22","April 22","intl","Earth Day","Annual environmental protection event. Founded 1970. 1 billion+ people in 193 countries.","International"
60,"May","20","May 20","intl","World Metrology Day","Commemorates the Metre Convention (1875). Science of measurement fundamental to physics.","International"
61,"July","1","July 1","intl","International Asteroid Day","UN-sanctioned on the anniversary of the 1908 Tunguska event. Promotes asteroid awareness.","UN"
62,"October","23","October 23","intl","Mole Day","Celebrated 6:02 AM to 6:02 PM on 10/23, for Avogadro\'s number (6.02Ã—10Â²Â³). Chemistry\'s favorite holiday.","Chemistry"
63,"November","7","November 7","intl","World Science Day for Peace & Development","UNESCO celebration promoting public awareness of science\'s role in society.","UNESCO"
64,"December","10","December 10","intl","Nobel Prize Ceremony Day","Prizes awarded annually on Alfred Nobel\'s death anniversary in Stockholm and Oslo. ~$1M per prize.","Nobel"
65,"January","1","January 1","birthday","Satyendra Nath Bose â€” Born 1894","Indian physicist who developed Bose-Einstein statistics with Einstein. Bosons are named in his honor.","Quantum Physics"
66,"January","2","January 2","birthday","Rudolf Clausius â€” Born 1822","Formulated the Second Law of Thermodynamics and coined the term ""entropy.""","Thermodynamics"
67,"January","6","January 6","birthday","Vera Rubin â€” Born 1928","Provided strong evidence for dark matter by studying galaxy rotation curves.","Astrophysics"
68,"January","8","January 8","birthday","Stephen Hawking â€” Born 1942","Hawking radiation, black hole theory, ""A Brief History of Time."" Defied ALS for 55 years. Lucasian Professor like Newton.","Cosmology"
69,"January","12","January 12","birthday","Svante Arrhenius â€” Born 1859","Proposed ionic dissociation theory. Nobel Chemistry 1903. First to model greenhouse gas warming (1896).","Physical Chemistry"
70,"January","15","January 15","birthday","Edward Teller â€” Born 1908","Hungarian-American physicist, ""Father of the Hydrogen Bomb."" Nuclear and molecular physics.","Nuclear Physics"
71,"January","17","January 17","birthday","Benjamin Franklin â€” Born 1706","Proved lightning is electrical. Invented the lightning rod, bifocals, and Franklin stove.","Electricity"
72,"January","19","January 19","birthday","James Watt â€” Born 1736","Improved the steam engine. The watt (W) power unit honors him. Made the Industrial Revolution possible.","Thermodynamics"
73,"January","22","January 22","birthday","AndrÃ©-Marie AmpÃ¨re â€” Born 1775","Founder of electrodynamics. AmpÃ¨re\'s law relates magnetic fields to current. The ampere (A) unit.","Electrodynamics"
74,"January","22","January 22","birthday","Lev Landau â€” Born 1908","Quantum mechanics, superfluidity, plasma physics, particle physics. Nobel 1962. Legendary textbooks.","Theoretical Physics"
75,"January","25","January 25","birthday","Robert Boyle â€” Born 1627","First modern chemist. Boyle\'s Law: PV = constant. ""The Sceptical Chymist"" separated chemistry from alchemy.","Chemistry"
76,"January","29","January 29","birthday","Abdus Salam â€” Born 1926","1979 Nobel for electroweak unification. First Muslim Nobel laureate in science.","Particle Physics"
77,"February","4","February 4","birthday","Clyde Tombaugh â€” Born 1906","Discovered Pluto (1930) at age 24. His ashes are aboard the New Horizons spacecraft beyond Pluto.","Astronomy"
78,"February","7","February 7","birthday","G.N. Lewis â€” Born 1875","Lewis dot structures, coined ""photon,"" covalent bond concept, thermodynamics contributions.","Physical Chemistry"
79,"February","8","February 8","birthday","Dmitri Mendeleev â€” Born 1834","Created the Periodic Table (1869). Predicted undiscovered elements. Element 101 = Mendelevium.","Chemistry"
80,"February","11","February 11","birthday","Josiah Willard Gibbs â€” Born 1839","Founded chemical thermodynamics and statistical mechanics. Einstein called him the greatest American scientist.","Thermodynamics"
81,"February","14","February 14","birthday","Fritz Zwicky â€” Born 1898","First proposed dark matter (1933). Also predicted neutron stars and gravitational lensing.","Astrophysics"
82,"February","15","February 15","birthday","Galileo Galilei â€” Born 1564","""Father of Modern Science."" Telescope, Jupiter\'s moons, heliocentrism, kinematics. Prosecuted by the Inquisition.","Astronomy/Physics"
83,"February","17","February 17","birthday","Otto Stern â€” Born 1888","Nobel 1943 for molecular beam method. Stern-Gerlach experiment proved space quantization.","Experimental Physics"
84,"February","20","February 20","birthday","Ludwig Boltzmann â€” Born 1844","Statistical mechanics and the Boltzmann equation. Epitaph: S = k log W. The Boltzmann constant k.","Statistical Mechanics"
85,"February","22","February 22","birthday","Heinrich Hertz â€” Born 1857","Proved electromagnetic waves exist (1887), confirming Maxwell. The hertz (Hz) unit. Died at 36.","Electromagnetism"
86,"February","28","February 28","birthday","Linus Pauling â€” Born 1901","Only person to win 2 unshared Nobels: Chemistry (1954) and Peace (1962). Founded molecular biology.","Chemistry"
87,"March","14","March 14","birthday","Albert Einstein â€” Born 1879","Special & general relativity, E=mcÂ², photoelectric effect (Nobel 1921), Brownian motion. Reshaped space, time, and gravity.","Theoretical Physics"
88,"March","16","March 16","birthday","Georg Ohm â€” Born 1789","Ohm\'s Law: V = IR. The ohm (Î©) unit of resistance.","Electricity"
89,"March","21","March 21","birthday","Joseph Fourier â€” Born 1768","Fourier analysis â€” decomposing functions into sine waves. Fundamental to signal processing and quantum mechanics.","Mathematical Physics"
90,"March","23","March 23","birthday","Emmy Noether â€” Born 1882","Noether\'s theorem: every symmetry = a conservation law. Einstein called her a genius.","Mathematical Physics"
91,"March","28","March 28","birthday","Alexander Friedmann â€” Born 1888","Derived Friedmann equations from GR showing the universe must be expanding â€” before Hubble confirmed it.","Cosmology"
92,"March","31","March 31","birthday","Robert Bunsen â€” Born 1811","Bunsen burner, discovered cesium and rubidium, pioneered emission spectroscopy with Kirchhoff.","Chemistry"
93,"April","15","April 15","birthday","Leonhard Euler â€” Born 1707","Euler\'s identity (e^iÏ€+1=0), fluid dynamics, optics, rigid body mechanics. Most prolific mathematician ever.","Mathematical Physics"
94,"April","22","April 22","birthday","J. Robert Oppenheimer â€” Born 1904","""Father of the Atomic Bomb."" Led the Manhattan Project. Quoted the Bhagavad Gita after Trinity test.","Nuclear Physics"
95,"April","23","April 23","birthday","Max Planck â€” Born 1858","Originated quantum theory (1900). h = 6.626Ã—10â»Â³â´ JÂ·s. Nobel 1918.","Quantum Physics"
96,"April","25","April 25","birthday","Wolfgang Pauli â€” Born 1900","Pauli Exclusion Principle. Predicted the neutrino (1930). Nobel 1945. Famous ""Pauli effect.""","Quantum Mechanics"
97,"April","29","April 29","birthday","Henri PoincarÃ© â€” Born 1854","Chaos theory, special relativity foundations, topology. ""The last universal mathematician.""","Mathematical Physics"
98,"April","30","April 30","birthday","Carl Friedrich Gauss â€” Born 1777","""Prince of Mathematicians."" Magnetism (gauss unit), number theory, statistics (Gaussian distribution).","Mathematics/Physics"
99,"May","1","May 1","birthday","Glenn Seaborg â€” Born 1912","Discovered 10 transuranium elements. Nobel 1951. Element 106 = Seaborgium â€” named while alive!","Nuclear Chemistry"
100,"May","7","May 7","birthday","Pyotr Kapitsa â€” Born 1894","Discovered superfluidity in helium-4. Nobel 1978. Low-temperature physics pioneer.","Condensed Matter"
101,"May","11","May 11","birthday","Richard Feynman â€” Born 1918","Feynman diagrams, QED, path integrals, nanotechnology pioneer. Nobel 1965. ""What I cannot create, I do not understand.""","Quantum Electrodynamics"
102,"May","12","May 12","birthday","Dorothy Hodgkin â€” Born 1910","X-ray crystallography. Structures of penicillin, vitamin B12, insulin. Nobel Chemistry 1964.","Crystallography"
103,"May","16","May 16","birthday","Maria Goeppert Mayer â€” Born 1906","Nuclear shell model. Second woman to win Nobel in Physics (1963).","Nuclear Physics"
104,"May","23","May 23","birthday","John Bardeen â€” Born 1908","Only person to win 2 Nobel Prizes in Physics: transistor (1956) and superconductivity (1972).","Solid State Physics"
105,"May","24","May 24","birthday","Daniel Gabriel Fahrenheit â€” Born 1686","Invented the mercury thermometer and the Fahrenheit temperature scale.","Thermometry"
106,"May","27","May 27","birthday","Rachel Carson â€” Born 1907","""Silent Spring"" (1962) launched the environmental movement and the EPA.","Environmental Chemistry"
107,"May","31","May 31","birthday","Julius Robert von Mayer â€” Born 1814","First formulated conservation of energy (1842). Calculated the mechanical equivalent of heat.","Thermodynamics"
108,"June","5","June 5","birthday","John Couch Adams â€” Born 1819","Independently predicted Neptune\'s position through mathematics.","Celestial Mechanics"
109,"June","8","June 8","birthday","Francis Crick â€” Born 1916","Co-discovered DNA\'s double helix with Watson, using Franklin\'s crystallography data. Nobel 1962.","Biophysics"
110,"June","13","June 13","birthday","James Clerk Maxwell â€” Born 1831","Unified electricity, magnetism, optics in Maxwell\'s equations. Predicted EM waves. Statistical mechanics pioneer.","Electrodynamics"
111,"June","19","June 19","birthday","Blaise Pascal â€” Born 1623","Pascal\'s law (pressure in fluids), Pascal\'s triangle, the Pascaline calculator. The pascal (Pa) unit.","Fluid Mechanics"
112,"June","22","June 22","birthday","Hermann Minkowski â€” Born 1864","Developed spacetime geometry â€” mathematical framework for special relativity.","Mathematical Physics"
113,"June","27","June 27","birthday","Lord Kelvin â€” Born 1824","Laws of Thermodynamics, absolute zero. Laid transatlantic telegraph cable. The kelvin (K) unit.","Thermodynamics"
114,"June","28","June 28","birthday","Henri Becquerel â€” Born 1852","Discovered radioactivity (1896). Shared 1903 Nobel with the Curies. The becquerel (Bq) unit.","Radioactivity"
115,"June","30","June 30","birthday","Ahmed Zewail â€” Born 1946","Founded femtochemistry â€” observing reactions at 10â»Â¹âµ seconds. Nobel Chemistry 1999.","Femtochemistry"
116,"July","1","July 1","birthday","Gottfried Wilhelm Leibniz â€” Born 1646","Independently invented calculus, conceived kinetic energy, developed binary arithmetic.","Mathematics/Physics"
117,"July","2","July 2","birthday","Hans Bethe â€” Born 1906","Discovered nuclear reactions powering stars (CNO cycle). Nobel 1967. Worked on the bomb and disarmament.","Nuclear Physics"
118,"July","10","July 10","birthday","Nikola Tesla â€” Born 1856","AC power system, Tesla coil, radio technology. 300+ patents. The tesla (T) magnetic unit.","Electrical Engineering"
119,"July","17","July 17","birthday","Georges LemaÃ®tre â€” Born 1894","Proposed the Big Bang theory (1927). Derived Hubble\'s law two years before Hubble.","Cosmology"
120,"July","18","July 18","birthday","Hendrik Lorentz â€” Born 1853","Lorentz transformations, fundamental to special relativity. Nobel 1902. Mentor to Einstein.","Theoretical Physics"
121,"July","22","July 22","birthday","Friedrich Bessel â€” Born 1784","First accurate stellar distance measurement (parallax). Bessel functions are fundamental in physics.","Astronomy"
122,"July","25","July 25","birthday","Rosalind Franklin â€” Born 1920","Photo 51 was crucial for DNA\'s double helix discovery. Died at 37 of ovarian cancer.","Crystallography"
123,"August","1","August 1","birthday","Maria Mitchell â€” Born 1818","First American woman astronomer. Discovered a comet (1847). Pioneered women in science.","Astronomy"
124,"August","6","August 6","birthday","Alexander Fleming â€” Born 1881","Discovered penicillin (1928) â€” the first antibiotic. Nobel 1945. Revolutionized medicine.","Biochemistry"
125,"August","8","August 8","birthday","Paul Dirac â€” Born 1902","Dirac equation predicted antimatter. Nobel 1933. ""God used beautiful mathematics in creating the world.""","Quantum Mechanics"
126,"August","9","August 9","birthday","Amedeo Avogadro â€” Born 1776","Avogadro\'s law and the concept of molecules. Avogadro\'s number: 6.022 Ã— 10Â²Â³.","Chemistry"
127,"August","12","August 12","birthday","Erwin SchrÃ¶dinger â€” Born 1887","SchrÃ¶dinger equation: the fundamental equation of quantum mechanics. SchrÃ¶dinger\'s cat. Nobel 1933.","Quantum Mechanics"
128,"August","13","August 13","birthday","Anders Ã…ngstrÃ¶m â€” Born 1814","Founded spectroscopy. The Ã…ngstrÃ¶m unit (Ã… = 10â»Â¹â° m) for atomic scales.","Spectroscopy"
129,"August","15","August 15","birthday","Louis de Broglie â€” Born 1892","Wave-particle duality: Î» = h/p. Every particle has a wavelength. Nobel 1929.","Quantum Physics"
130,"August","20","August 20","birthday","Paul Ehrlich â€” Born 1854","Developed the ""magic bullet"" concept in pharmacology. Pioneer of chemotherapy. Nobel 1908.","Medicinal Chemistry"
131,"August","26","August 26","birthday","Antoine Lavoisier â€” Born 1743","""Father of Modern Chemistry."" Named oxygen & hydrogen. Conservation of mass. Guillotined in the Revolution.","Chemistry"
132,"August","30","August 30","birthday","Ernest Rutherford â€” Born 1871","""Father of Nuclear Physics."" Discovered the nucleus, proton. Nobel 1908. Element 104 = Rutherfordium.","Nuclear Physics"
133,"August","31","August 31","birthday","Hermann von Helmholtz â€” Born 1821","Conservation of energy, Helmholtz free energy, ophthalmoscope, acoustics/optics.","Thermodynamics"
134,"September","5","September 5","birthday","John Dalton â€” Born 1766","Modern atomic theory (1803). Law of multiple proportions. Studied color blindness (Daltonism).","Chemistry"
135,"September","15","September 15","birthday","Murray Gell-Mann â€” Born 1929","Quark model, Eightfold Way. Named ""quarks"" from Joyce\'s Finnegans Wake. Nobel 1969.","Particle Physics"
136,"September","17","September 17","birthday","Bernhard Riemann â€” Born 1826","Riemannian geometry became the language of general relativity. Riemann hypothesis: most famous unsolved problem.","Mathematical Physics"
137,"September","18","September 18","birthday","LÃ©on Foucault â€” Born 1819","Proved Earth\'s rotation with his pendulum (1851). Measured the speed of light. Invented the gyroscope.","Experimental Physics"
138,"September","22","September 22","birthday","Michael Faraday â€” Born 1791","Electromagnetic induction, Faraday cage, diamagnetism, electrolysis laws. Self-taught genius. The farad (F) unit.","Electromagnetism"
139,"September","25","September 25","birthday","Jean-Baptiste Perrin â€” Born 1870","Proved atoms exist by studying Brownian motion. Nobel 1926.","Atomic Physics"
140,"September","29","September 29","birthday","Enrico Fermi â€” Born 1901","First nuclear reactor (1942). Beta decay theory, Fermi statistics, Fermi paradox. Nobel 1938. Element 100 = Fermium.","Nuclear Physics"
141,"October","5","October 5","birthday","Robert Goddard â€” Born 1882","""Father of Modern Rocketry."" First liquid-fueled rocket (1926). 214 patents. NASA\'s Goddard Center.","Rocket Physics"
142,"October","7","October 7","birthday","Niels Bohr â€” Born 1885","Bohr atomic model, Copenhagen interpretation of QM. Nobel 1922. Element 107 = Bohrium.","Atomic Physics"
143,"October","10","October 10","birthday","Henry Cavendish â€” Born 1731","Discovered hydrogen. Measured Earth\'s density. Determined gravitational constant G.","Chemistry/Physics"
144,"October","15","October 15","birthday","Evangelista Torricelli â€” Born 1608","Invented the barometer (1643). Torricelli\'s theorem in fluid dynamics.","Fluid Physics"
145,"October","19","October 19","birthday","Subrahmanyan Chandrasekhar â€” Born 1910","Chandrasekhar limit (1.4 Mâ˜‰) for white dwarfs. Nobel 1983.","Astrophysics"
146,"October","21","October 21","birthday","Alfred Nobel â€” Born 1833","Invented dynamite (1867). His fortune established the Nobel Prizes.","Chemistry"
147,"October","25","October 25","birthday","Henry Moseley â€” Born 1887","Used X-rays to determine atomic numbers. Proved atomic number orders the Periodic Table. Killed at Gallipoli at 27.","Atomic Physics"
148,"October","31","October 31","birthday","Chien-Shiung Wu â€” Born 1912","""First Lady of Physics."" Disproved parity conservation (1957). Nobel oversight.","Nuclear Physics"
149,"November","2","November 2","birthday","George Boole â€” Born 1815","Boolean algebra â€” the math of logic gates, fundamental to computing.","Mathematical Logic"
150,"November","7","November 7","birthday","Marie Curie â€” Born 1867","Only person to win Nobels in TWO sciences: Physics (1903) and Chemistry (1911). Discovered polonium & radium.","Radioactivity"
151,"November","7","November 7","birthday","C.V. Raman â€” Born 1888","Raman Effect â€” inelastic light scattering. Nobel 1930. National Science Day (India) celebrates his discovery.","Optics"
152,"November","7","November 7","birthday","Lise Meitner â€” Born 1878","Co-discovered nuclear fission (1938). Nobel went to Hahn alone â€” greatest oversight in Nobel history. Element 109 = Meitnerium.","Nuclear Physics"
153,"November","8","November 8","birthday","Edmond Halley â€” Born 1656","Predicted his comet\'s return. Funded Newton\'s Principia. First weather map and magnetic charts.","Astronomy"
154,"November","9","November 9","birthday","Hedy Lamarr â€” Born 1914","Actress AND physicist. Co-invented frequency-hopping spread spectrum â€” basis of WiFi, Bluetooth, GPS.","Communications"
155,"November","10","November 10","birthday","Mikhail Lomonosov â€” Born 1711","""Leonardo of Russia."" Conservation of mass before Lavoisier. Discovered Venus\'s atmosphere.","Chemistry/Physics"
156,"November","15","November 15","birthday","William Herschel â€” Born 1738","Discovered Uranus (1781) and infrared radiation (1800). Built largest telescopes of his era.","Astronomy"
157,"November","24","November 24","birthday","Hideki Yukawa â€” Born 1907","Predicted mesons mediating the strong force. Nobel 1949 â€” first Japanese Nobel laureate.","Nuclear Physics"
158,"November","27","November 27","birthday","Anders Celsius â€” Born 1701","Proposed the Celsius temperature scale (originally inverted).","Thermometry"
159,"December","3","December 3","birthday","Jagadish Chandra Bose â€” Born 1858","Pioneered microwave optics. Demonstrated radio before Marconi. Invented crescograph.","Microwave Physics"
160,"December","5","December 5","birthday","Werner Heisenberg â€” Born 1901","Uncertainty Principle: Î”xÎ”p â‰¥ â„/2. Matrix mechanics. Nobel 1932.","Quantum Mechanics"
161,"December","7","December 7","birthday","Marie-Anne Paulze Lavoisier â€” Born 1758","Essential collaborator with husband Antoine. Illustrated experiments and translated scientific texts.","Chemistry"
162,"December","9","December 9","birthday","Fritz Haber â€” Born 1868","Haber-Bosch process feeds ~4 billion people. Nobel 1918. Controversially directed chemical weapons in WWI.","Chemistry"
163,"December","10","December 10","birthday","Ada Lovelace â€” Born 1815","Wrote the first computer program for Babbage\'s Analytical Engine.","Computing/Mathematics"
164,"December","11","December 11","birthday","Max Born â€” Born 1882","Probabilistic interpretation of wave function (|Ïˆ|Â²). Nobel 1954. Grandfather of Olivia Newton-John.","Quantum Mechanics"
165,"December","18","December 18","birthday","J.J. Thomson â€” Born 1856","Discovered the electron (1897). Nobel 1906. His students won 8 Nobel Prizes!","Atomic Physics"
166,"December","19","December 19","birthday","Albert Michelson â€” Born 1852","Measured speed of light. Michelson-Morley experiment disproved the aether. First American science Nobel (1907).","Optics"
167,"December","22","December 22","birthday","Srinivasa Ramanujan â€” Born 1887","Indian mathematical genius. ~3,900 results in infinite series and number theory. Died at 32.","Mathematical Physics"
168,"December","25","December 25","birthday","Isaac Newton â€” Born 1642","Laws of motion, universal gravitation, calculus, optics, Principia. Arguably the greatest scientist ever.","Classical Physics"
169,"December","27","December 27","birthday","Johannes Kepler â€” Born 1571","Three laws of planetary motion. Foundation for Newton\'s gravitational theory.","Celestial Mechanics"
170,"December","27","December 27","birthday","Louis Pasteur â€” Born 1822","Pasteurization, germ theory, vaccines for rabies and anthrax. Proved chirality. Saved millions.","Chemistry/Microbiology"
171,"December","29","December 29","birthday","Charles Goodyear â€” Born 1800","Discovered vulcanization of rubber (1839). Critical chemistry breakthrough for modern industry.","Polymer Chemistry"
172,"January","11","January 11","birthday","Theodor Svedberg â€” Born 1884","Nobel Chemistry 1926 for colloid chemistry and the ultracentrifuge.","Chemistry"
173,"March","7","March 7","birthday","John Herschel â€” Born 1792","Polymath: astronomer, chemist, photographer. Named 7 moons of Saturn. Catalogued thousands of stars.","Astronomy/Chemistry"
174,"April","5","April 5","birthday","Joseph Lister â€” Born 1827","Pioneered antiseptic surgery using carbolic acid. Applied chemistry to medicine.","Chemistry/Medicine"
175,"April","7","April 7","birthday","GÃ©rard Mourou â€” Born 1944","Co-invented Chirped Pulse Amplification. Nobel 2018 with Donna Strickland. Highest-intensity lasers.","Laser Physics"
176,"April","14","April 14","birthday","Christiaan Huygens â€” Born 1629","Wave theory of light, discovered Saturn\'s rings and Titan, invented the pendulum clock.","Wave Optics"
177,"April","26","April 26","birthday","Charles Richter â€” Born 1900","Developed the Richter scale for earthquake magnitude.","Geophysics"
